"ITTER107","Territory","TIPO_DATO15","Demographic data type","SEXISTAT1","Gender","ETA1","Age","STATCIV2","Marital status","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","JAN","population on 1st January","2","females","Y79","79 years","99","total","2019","2019",308863,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y79","79 years","99","total","2019","2019",548659,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y80","80 years","99","total","2019","2019",222188,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y80","80 years","99","total","2019","2019",295267,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y80","80 years","99","total","2019","2019",517455,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y81","81 years","99","total","2019","2019",195535,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y81","81 years","99","total","2019","2019",267511,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y81","81 years","99","total","2019","2019",463046,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y82","82 years","99","total","2019","2019",171836,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y82","82 years","99","total","2019","2019",245593,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y82","82 years","99","total","2019","2019",417429,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y83","83 years","99","total","2019","2019",241945,"p","provisional data"
"IT","Italy","JAN","population on 1st January","9","total","Y83","83 years","99","total","2019","2019",406335,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y83","83 years","99","total","2019","2019",164390,"p","provisional data"
"IT","Italy","JAN","population on 1st January","1","males","Y84","84 years","99","total","2019","2019",146496,"p","provisional data"
"IT","Italy","JAN","population on 1st January","2","females","Y84","84 years","99","total","2019","2019",225821,"p","provisional data"
